Date Reported,Organization Name,Date of Breach,Number of Washingtonians Affected,Information Compromised
9/9/24,"Kemper Sports Management, LLC",4/1/24,1929,Name; Social Security Number; Driver's License or Washington ID Card Number; Financial & Banking Information; Full Date of Birth; Passport Number; Medical Information
8/13/24,Kootenai Health,2/22/24,94530,Name; Social Security Number; Driver's License or Washington ID Card Number; Full Date of Birth; Health Insurance Policy or ID Number; Medical Information
8/5/24,QuoteWizard,5/26/24,717781,Name; Driver's License or Washington ID Card Number; Full Date of Birth
8/3/24,Change Healthcare Inc.,2/17/24,501,Name; Social Security Number; Driver's License or Washington ID Card Number; Financial & Banking Information; Full Date of Birth; Military ID Number; Passport Number; Health Insurance Policy or ID Number; Medical Information
7/26/24,"HealthEquity, Inc.",3/9/24,90185,Name; Social Security Number; Full Date of Birth; Health Insurance Policy or ID Number; Medical Information; Other
7/22/24,Sutton Dental Arts,4/11/24,10,Name; Medical Information
7/16/24,"FCDG Management, LLC",10/22/23,1454,Name; Social Security Number; Driver's License or Washington ID Card Number; Financial & Banking Information; Full Date of Birth; Passport Number; Medical Information
7/15/24,Rite Aid Corporation,6/6/24,96270,Name; Driver's License or Washington ID Card Number; Full Date of Birth
7/10/24,"Advance Stores Company, Incorporated (Advanced Auto Parts)",4/14/24,21791,Name; Social Security Number; Driver's License or Washington ID Card Number; Full Date of Birth
7/10/24,Coalition for the Common Good dba Antioch University,8/8/23,4276,Name; Social Security Number; Driver's License or Washington ID Card Number; Financial & Banking Information; Full Date of Birth; Student ID Number; Passport Number; Medical Information
7/9/24,New York School of Interior Design,11/2/23,755,Name; Social Security Number; Driver's License or Washington ID Card Number; Financial & Banking Information; Full Date of Birth; Student ID Number; Passport Number; Health Insurance Policy or ID Number; Medical Information
7/8/24,Evolve Bank & Trust,2/9/24,275716,Name; Social Security Number; Financial & Banking Information; Full Date of Birth
6/28/24,"Adapt Health (Philips Respironics, Inc.)",5/31/23,1200,Name; Full Date of Birth; Health Insurance Policy or ID Number; Medical Information; Email Address and Password/Security Question Answers; Other
6/27/24,"Holstein Association USA, Inc.",5/5/24,12,Name; Social Security Number; Driver's License or Washington ID Card Number; Full Date of Birth; Passport Number; Health Insurance Policy or ID Number; Medical Information
6/24/24,The Neiman Marcus Group LLC,4/14/24,11049,Name; Full Date of Birth
6/22/24,Ticketmaster LLC,4/2/24,500,Name; Financial & Banking Information; Full Date of Birth; Passport Number
6/21/24,"LivaNova USA, Inc.",10/26/23,2116,Name; Social Security Number; Full Date of Birth; Health Insurance Policy or ID Number; Medical Information; Other
6/21/24,Levi Strauss & Co.,6/13/24,640,Name; Username and Password/Security Question Answers; Other
6/14/24,Scout Energy Management LLC,1/10/24,1186,Name; Social Security Number
6/13/24,"Panera, LLC",2/9/24,811,Name; Social Security Number
6/13/24,Atria Wealth Solutions,11/22/23,779,Name; Full Date of Birth
6/12/24,Kirkland & Ellis LLP,5/27/23,810,Name; Social Security Number; Driver's License or Washington ID Card Number; Financial & Banking Information; Full Date of Birth; Passport Number; Health Insurance Policy or ID Number; Medical Information; Username and Password/Security Question Answers; Email Address and Password/Security Question Answers; Other
6/11/24,Rairdon Automotive Group,4/8/24,2301,Name; Social Security Number; Driver's License or Washington ID Card Number; Passport Number
6/10/24,First American Financial Corporation,12/18/23,706,Name; Social Security Number; Driver's License or Washington ID Card Number; Financial & Banking Information; Full Date of Birth; Military ID Number; Passport Number; Medical Information; Other
6/7/24,Christie’s Inc.,5/8/24,985,Name; Driver's License or Washington ID Card Number; Full Date of Birth; Passport Number; Other
6/7/24,"Pfizer, Inc. (The Lash Group, LLC)",2/21/24,2650,Name; Full Date of Birth; Medical Information; Other
6/6/24,"My Daily Choice, Inc.",2/15/24,1593,Name; Social Security Number; Financial & Banking Information
6/4/24,"Assist System, LLC and Medjet Assistance, LLC",10/17/23,9142,Name; Social Security Number; Driver's License or Washington ID Card Number; Full Date of Birth; Passport Number; Health Insurance Policy or ID Number; Medical Information
6/3/24,"Kaiser Foundation Health Plan, Inc. (Philips Respironics, Inc.)",5/31/23,17530,Name; Full Date of Birth; Health Insurance Policy or ID Number; Medical Information; Other
6/3/24,"Rotech Healthcare (Philips Respironics, Inc.)",5/31/23,2802,Name; Full Date of Birth; Health Insurance Policy or ID Number; Medical Information; Other
5/31/24,"Rayner Surgical Inc. (The Lash Group, LLC)",2/21/24,829,Name; Full Date of Birth; Medical Information; Other
5/31/24,"Takeda Pharmaceuticals U.S.A., Inc. (The Lash Group, LLC)",2/21/24,889,Name; Full Date of Birth; Medical Information; Other
5/30/24,"Amgen, Inc. (The Lash Group, LLC)",2/21/24,14081,Name; Full Date of Birth; Medical Information; Other
5/30/24,"Sanofi US Services Inc. (The Lash Group, LLC)",2/21/24,24496,Name; Full Date of Birth; Medical Information
5/28/24,"HealthFirst Urgent Care, PLLC",10/1/23,4111,Name; Medical Information; Other
5/28/24,"Johnson & Johnson Services, Inc. (The Lash Group, LLC)",2/21/24,5954,Name; Full Date of Birth; Medical Information; Other
5/28/24,"Johnson & Johnson Patient Assistance Foundation, Inc. (The Lash Group, LLC)",2/21/24,12835,Name; Full Date of Birth; Medical Information; Other
5/24/24,"A&A Services, d/b/a Sav-Rx",10/3/23,69051,Name; Social Security Number; Full Date of Birth; Health Insurance Policy or ID Number; Other
5/24/24,"GlaxoSmithKline Group of Companies/GSK Patient Access Programs Foundation (The Lash Group, LLC)",2/21/24,6617,Name; Full Date of Birth; Medical Information
